"astro-ph/0701317","Eric Linder","Eric V. Linder and Robert N. Cahn","Parameterized Beyond-Einstein Growth","8 pages; v2 minor clarifications, matches published version","Astropart.Phys.28:481-488,2007","10.1016/j.astropartphys.2007.09.003",,"astro-ph gr-qc",,"  A single parameter, the gravitational growth index \gamma, succeeds in
characterizing the growth of density perturbations in the linear regime
separately from the effects of the cosmic expansion. The parameter is
restricted to a very narrow range for models of dark energy obeying the laws of
general relativity but takes on distinctly different values in models of
beyond-Einstein gravity. In analogy to the parameterized post-Newtonian (PPN)
formalism for testing gravity, we extend and motivate the gravitational growth
index, or Minimal Modified Gravity, approach to parameterizing beyond-Einstein
cosmology. Using a simple analytic formalism, we show how the growth index
parameter applies to early dark energy, time-varying gravity, DGP braneworld
gravity, and scalar-tensor gravity.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 17:33:15 GMT""},{""version"":""v2"",""created"":""Wed, 19 Sep 2007 17:51:41 GMT""}]","2010-11-05"
"astro-ph/0701350","Juna A. Kollmeier","Juna A. Kollmeier (1) and Andrew Gould (2) ((1) Carnegie Observatories
  and Princeton University, (2) The Ohio State University)","Where are the Old-Population High Velocity Stars?","Submitted to ApJ. 7 pages including 2 figures","Astrophys.J.664:343-348,2007","10.1086/518405",,"astro-ph",,"  To date, all of the reported high velocity stars (HVSs), which are believed
to be ejected from the Galactic center, are blue and therefore almost certainly
young. Old-population HVSs could be much more numerous than the young ones that
have been discovered, but still have escaped detection because they are hidden
in a much denser background of Galactic halo stars. Discovery of these stars
would shed light on star formation at the Galactic center, the mechanism by
which they are ejected from it, and, if they prove numerous, enable detailed
studies of the structure of the dark halo. We analyze the problem of finding
these stars and show that the search should be concentrated around the
main-sequence turnoff (0.3<g-i<1.1) at relatively faint magnitudes
(19.5<g<21.5). If the ratio of turnoff stars to B stars is the same for HVSs as
it is in the local disk, such a search would yield about 1 old-population HVS
per 10 deg^2. A telescope similar to the Sloan 2.5m could search about 20 deg^2
per night, implying that in short order such a population, should it exist,
would show up in interesting numbers.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 23:44:18 GMT""}]","2011-02-11"
"astro-ph/0701351","Philip Hopkins","Philip F. Hopkins (1), Lars Hernquist (1), Thomas J. Cox (1), Brant
  Robertson (2), Elisabeth Krause (3) ((1) CfA, (2) KICP, U. Chicago, (3)
  Universitat Bonn)","A Theoretical Interpretation of the Black Hole Fundamental Plane","22 pages, 19 figures, replaced with version accepted to ApJ.
  Companion paper to arXiv:0707.4005","Astrophys.J.669:45-66,2007","10.1086/521590",,"astro-ph",,"  We examine the origin and evolution of correlations between properties of
supermassive black holes (BHs) and their host galaxies using simulations of
major galaxy mergers, including the effects of gas dissipation, cooling, star
formation, and BH accretion and feedback. We demonstrate that the simulations
predict the existence of a BH 'fundamental plane' (BHFP), of the form M_BH
sigma^(3.0+-0.3)*R_e^(0.43+-0.19) or M_BH
M_bulge^(0.54+-0.17)*sigma^(2.2+-0.5), similar to relations found
observationally. The simulations indicate that the BHFP can be understood
roughly as a tilted intrinsic correlation between BH mass and spheroid binding
energy, or the condition for feedback coupling to power a pressure-driven
outflow. While changes in halo circular velocity, merger orbital parameters,
progenitor disk redshifts and gas fractions, ISM gas pressurization, and other
parameters can drive changes in e.g. sigma at fixed M_bulge, and therefore
changes in the M_BH-sigma or M_BH-M_bulge relations, the BHFP is robust. Given
the empirical trend of decreasing R_e for a given M_bulge at high redshift, the
BHFP predicts that BHs will be more massive at fixed M_bulge, in good agreement
with recent observations. This evolution in the structural properties of merger
remnants, to smaller R_e and larger sigma (and therefore larger M_BH,
conserving the BHFP) at a given M_bulge, is driven by the fact that bulge
progenitors have characteristically larger gas fractions at high redshifts.
Adopting the observed evolution of disk gas fractions with redshift, our
simulations predict the observed trends in both R_e(M_bulge) and M_BH(M_bulge).
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 21:07:23 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jan 2007 21:07:24 GMT""},{""version"":""v3"",""created"":""Thu, 26 Jul 2007 20:25:56 GMT""}]","2008-11-26"
"astro-ph/0701352","Zahed Wahhaj PhD.","Z. Wahhaj, D.W. Koerner, A.I. Sargent","High-Resolution Imaging of the Dust Disk around 49 Ceti","19 pages, 6 figures. Accepted for publicaion in ApJ","Astrophys.J.661:368-373,2007","10.1086/512716",,"astro-ph",,"  Sub-arcsecond scale Keck images of the young A1V star, 49 Ceti, resolve
emission at lambda = 12.5 and 17.9 microns from a disk with long axis at PA 125
pm 10 degrees and inclination phi = 60 pm 15 degrees . At 17.9 microns, the
emission is brighter and more extended toward the NW than the SE. Modeling of
the mid-infrared images combined with flux densities from the literature
indicate that the bulk of the mid-infrared emission comes from very small
grains (a ~ 0.1 microns) confined between 30 and 60 AU from the star. This
population of dust grains contributes negligibly to the significant excess
observed in the spectral energy distribution. Most of the non- photospheric
energy is radiated at longer wavelengths by an outer disk of larger grains (a ~
15 microns), inner radius ~ 60 AU, and outer radius ~ 900 AU. Global properties
of the 49 Cet disk show more affinity with the Beta Pic and HR 4796A disks than
with other debris disks. This may be because they are all very young (t < 20
Myr), adding strength to the argument that they are transitional objects
between Herbig Ae and ""Vega-like"" A stars with more tenuous circumstellar
disks.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 21:13:15 GMT""}]","2008-11-26"
"astro-ph/0701353","Genly Le\'on","Ruth Lazkoz, Genly Le\'on, and Israel Quiros","Quintom cosmologies with arbitrary potentials","revtex4, 9 pages, 3 eps figures, Article in press at PLB","Phys.Lett.B649:103-110,2007","10.1016/j.physletb.2007.03.060",,"astro-ph gr-qc hep-ph hep-th",,"  In this paper we investigate quintom cosmologies with arbitrary potentials
from the dynamical systems perspective. The dynamical systems analysis is
complete in the sense that it includes the asymptotic regime where both scalar
fields diverge, which proves to be particularly relevant in connection with the
existence of tracking phases. The results of the present study indicate that
the existence of phantom attractors is not generic: for quintom models there
may exist either de Sitter attractors associated with the saddle points of the
potential, or tracking attractors in the asymptotic regime where the scalar
fields diverge.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 21:43:23 GMT""},{""version"":""v2"",""created"":""Thu, 26 Apr 2007 21:20:24 GMT""}]","2008-11-26"
"astro-ph/0701354","Michael L. Balogh","Michael Balogh (1), Ian McCarthy (2), Richard Bower (2), G. Mark Voit
  (3) ((1) University of Waterloo, (2) Durham University, (3) Michigan State
  University)","Entropy generation in merging galaxy clusters","Replaced to correct typo in equation 3. 6 page contribution to the
  Heating vs. Cooling conference in Garching, August 2006. This is a short
  summary of the longer paper available as astro-ph/0701335",,"10.1007/978-3-540-73484-0_48",,"astro-ph",,"  In McCarthy et al. (2007, astro-ph/0701335) we present an analysis of entropy
generation during cluster mergers, using SPH simulations. This conference
proceeding contribution summarizes some of the most important findings of that
paper, without all the technical details. Our main result is that during
cluster mergers, entropy is generated in two major shock episodes, that heat
the gas from the inside-out, in a way that distributes most of the energy
within the more massive clump. This is different from the ""onion-skin"" model
adopted in many simple analytic models of cluster formation.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 22:04:02 GMT""},{""version"":""v2"",""created"":""Wed, 17 Jan 2007 20:25:35 GMT""}]","2015-06-24"
"astro-ph/0701355","John Tobin","John J. Tobin, Leslie W. Looney, Lee G. Mundy, Woojin Kwon, Murad
  Hamidouche","Imaging Scattered Light from the Youngest Protostars in L1448:
  Signatures of Outflows","Accepted ApJ, 42 pages, 13 figures","Astrophys.J.659:1404-1419,2007","10.1086/512720",,"astro-ph",,"  We present deep IRAC images that highlight the scattered light emission
around many of the youngest protostars, the so-called Class 0 sources, in
L1448. By comparison of the data with a Monte Carlo radiative transfer code
\citep{whitney2003a}, we demonstrate for the first time that the observed
infrared light from these objects is consistent with scattered light from the
central protostar. The scattered light escapes out the cavity, carved by
molecular outflows, in the circumstellar envelope. In particular, we observe
prominent scattered light nebulae associated with the Class 0 sources:
L1448-mm, L1448 IRS 2, and 3B, as well as a Class I source: IRS 3A. We use a
grid of models with probable protostellar properties to generate model spectral
energy distributions (SEDs) and images for bands sensitive to this scattered
light: J, H, Ks, and \textit{Spitzer} IRAC bands. By simultaneously fitting
SEDs and images of the outflow cavities, we are able to model geometric
parameters, i.e. inclination angle and opening angle, and loosely constrain
physical parameters. The opening angle may be an important indicator of the
evolutionary state of a source. We compare our results for Class 0 sources to
similar studies of Class I sources. There may be a transition phase from Class
0 to Class I when a source has an opening angle between 20$^o$ to 30$^o$. It is
important to note that while the best fit model image and SED do not fully
describe the sources, the fits generally describe the circumstellar structure
of Class 0 sources in L1448.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 22:22:22 GMT""}]","2011-02-11"
"astro-ph/0701356","Rodrigo D\'iaz Mr.","Dante Minniti, Jos\'e Miguel Fern\'andez, Rodrigo F. D\'iaz, Andrzej
  Udalski, Grzegorz Pietrzynski, Wolfgang Gieren, Patricio Rojo, Mar\'ia Teresa
  Ru\'iz and Manuela Zoccali","Millimagnitude Photometry for Transiting Extrasolar Planetary Candidates
  III: Accurate Radius and Period for OGLE-TR-111-b","16 pages (including figures), 5 figures, 1 table. Accepted for
  publication in the Astrophysical Journal","Astrophys.J.660:858-862,2007","10.1086/512722",,"astro-ph",,"  We present accurate V-band photometry for a planetary transit of OGLE-TR-111
acquired with VIMOS at the ESO Very Large Telescope. The measurement of this
transit allows to refine the planetary radius, obtaining R_p= 1.01 +/- 0.06
R_J. Given the mass of M_p = 0.53 M_J previously measured from radial
velocities, we confirm that the density is rho_p= 0.6 +/- 0.2 g/cm^3. We also
revise the ephemeris for OGLE-TR-111-b, obtaining an accurate orbital period P=
4.014484 +/- 0.000014 days, and predicting that the next observable transits
would occur around December 2006, and after that only in mid-2008. Even though
this period is different from previously published values, we cannot yet rule
out a constant period.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 23:31:41 GMT""}]","2008-11-26"
"astro-ph/0701357","Lotty Ackerman","Lotty Ackerman, Sean M. Carroll and Mark B. Wise","Imprints of a Primordial Preferred Direction on the Microwave Background","7 pages, no figures; v5: Corrections, as well as use of more standard
  convention, in section II","Phys.Rev.D75:083502,2007; Erratum-ibid.D80:069901,2009","10.1103/PhysRevD.75.083502 10.1103/PhysRevD.80.069901","CALT-68-2626","astro-ph gr-qc hep-ph hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Rotational invariance is a well-established feature of low-energy physics.
Violations of this symmetry must be extremely small today, but could have been
larger in earlier epochs. In this paper we examine the consequences of a small
breaking of rotational invariance during the inflationary era when the
primordial density fluctuations were generated. Assuming that a fixed-norm
vector picked out a preferred direction during the inflationary era, we explore
the imprint it would leave on the cosmic microwave background anisotropy, and
provide explicit formulas for the expected amplitudes $<a_{lm}a_{l'm'}^*>$ of
the spherical-harmonic coefficients. We suggest that it is natural to expect
that the imprint on the primordial power spectrum of a preferred spatial
direction is approximately scale-invariant, and examine a simple model in which
this is true.
","[{""version"":""v1"",""created"":""Thu, 11 Jan 2007 23:47:40 GMT""},{""version"":""v2"",""created"":""Mon, 29 Jan 2007 20:32:56 GMT""},{""version"":""v3"",""created"":""Wed, 21 Feb 2007 20:21:56 GMT""},{""version"":""v4"",""created"":""Wed, 7 Mar 2007 23:08:20 GMT""},{""version"":""v5"",""created"":""Mon, 10 Aug 2009 19:42:39 GMT""}]","2014-10-13"
"astro-ph/0701358","Dr. Mario Rabinowitz","Mario Rabinowitz","Dark Matter in an n-Space Expanding Universe","22 pages","Adv.Stud.Theor.Phys.1:5-27,2007",,,"astro-ph",,"  The total number of degrees of freedom of a d-dimensional body in n-space is
derived so that equipartition of energy may be applied to a possibly
n-dimensional early universe. A comparison is made of a range of proposals to
include free and bound black holes as either a small component or the dominant
constituent of dark matter in the universe. The hypothesis that dark matter
consists in part of atomic gravitationally bound primordial black holes is
closely examined in 3-space, as well as in n-space; and the Chavda and Chavda
holeum hypothesis is found to be flawed. Blackbody and Hawking radiation are
generalized to n-space, and Hawking radiation is shown to be simply
proportional to the black hole density. The importance of quantum gravity in
understanding the role of early universe dark matter is undermined because
present approaches to a theory of quantum gravity violate the equivalence
principle. A general heuristic proof for geodesics on an expanding hypersphere
is presented. Classical limits of Einstein's General Relativity are considered.
A novel approach to the accelerated expansion of the universe is discussed. An
anomalous surprising aspect of 4-space is demonstrated.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 00:54:29 GMT""},{""version"":""v2"",""created"":""Sat, 24 Mar 2007 17:19:51 GMT""}]","2008-11-26"
"astro-ph/0701359","John C. Raymond","J.C. Raymond, G. Holman, A. Ciaravella, A. Panasyuk, Y.-K. Ko and J.
  Kohl","Transition Region Emission and Energy Input to Thermal Plasma During the
  Impulsive Phase of Solar Flares","20 pages, 3 figures To appear in ApJ","Astrophys.J.659:750-757,2007","10.1086/512604",,"astro-ph",,"  The energy released in a solar flare is partitioned between thermal and
non-thermal particle energy and lost to thermal conduction and radiation over a
broad range of wavelengths. It is difficult to determine the conductive losses
and the energy radiated at transition region temperatures during the impulsive
phases of flares. We use UVCS measurements of O VI photons produced by 5 flares
and subsequently scattered by O VI ions in the corona to determine the 5.0 <
log T < 6.0 transition region luminosities. We compare them with the rates of
increase of thermal energy and the conductive losses deduced from RHESSI and
GOES X-ray data using areas from RHESSI images to estimate the loop volumes,
cross-sectional areas and scale lengths. The transition region luminosities
during the impulsive phase exceed the X-ray luminosities for the first few
minutes, but they are smaller than the rates of increase of thermal energy
unless the filling factor of the X-ray emitting gas is ~ 0.01. The estimated
conductive losses from the hot gas are too large to be balanced by radiative
losses or heating of evaporated plasma, and we conclude that the area of the
flare magnetic flux tubes is much smaller than the effective area measured by
RHESSI during this phase of the flares. For the 2002 July 23 flare, the energy
deposited by non-thermal particles exceeds the X-ray and UV energy losses and
the rate of increase of the thermal energy.
","[{""version"":""v1"",""created"":""Fri, 12 Jan 2007 01:33:26 GMT""}]","2011-02-11"
